date,Interest
2022-05-01,23
2022-05-02,23
2022-05-03,23
2022-05-04,23
2022-05-05,23
2022-05-06,23
2022-05-07,23
2022-05-08,37
2022-05-09,37
2022-05-10,37
2022-05-11,37
2022-05-12,37
2022-05-13,37
2022-05-14,37
2022-05-15,39
2022-05-16,39
2022-05-17,39
2022-05-18,39
2022-05-19,39
2022-05-20,39
2022-05-21,39
2022-05-22,39
2022-05-23,39
2022-05-24,39
2022-05-25,39
2022-05-26,39
2022-05-27,39
2022-05-28,39
2022-05-29,35
2022-05-30,35
2022-05-31,35
2022-06-01,35
2022-06-02,35
2022-06-03,35
2022-06-04,35
2022-06-05,39
2022-06-06,39
2022-06-07,39
2022-06-08,39
2022-06-09,39
2022-06-10,39
2022-06-11,39
2022-06-12,36
2022-06-13,36
2022-06-14,36
2022-06-15,36
2022-06-16,36
2022-06-17,36
2022-06-18,36
2022-06-19,51
2022-06-20,51
2022-06-21,51
2022-06-22,51
2022-06-23,51
2022-06-24,51
2022-06-25,51
2022-06-26,37
2022-06-27,37
2022-06-28,37
2022-06-29,37
2022-06-30,37
2022-07-01,37
2022-07-02,37
2022-07-03,33
2022-07-04,33
2022-07-05,33
2022-07-06,33
2022-07-07,33
2022-07-08,33
2022-07-09,33
2022-07-10,34
2022-07-11,34
2022-07-12,34
2022-07-13,34
2022-07-14,34
2022-07-15,34
2022-07-16,34
2022-07-17,35
2022-07-18,35
2022-07-19,35
2022-07-20,35
2022-07-21,35
2022-07-22,35
2022-07-23,35
2022-07-24,42
2022-07-25,42
2022-07-26,42
2022-07-27,42
2022-07-28,42
2022-07-29,42
2022-07-30,42
2022-07-31,31
2022-08-01,31
2022-08-02,31
2022-08-03,31
2022-08-04,31
2022-08-05,31
2022-08-06,31
2022-08-07,29
2022-08-08,29
2022-08-09,29
2022-08-10,29
2022-08-11,29
2022-08-12,29
2022-08-13,29
2022-08-14,33
2022-08-15,33
2022-08-16,33
2022-08-17,33
2022-08-18,33
2022-08-19,33
2022-08-20,33
2022-08-21,32
2022-08-22,32
2022-08-23,32
2022-08-24,32
2022-08-25,32
2022-08-26,32
2022-08-27,32
2022-08-28,24
2022-08-29,24
2022-08-30,24
2022-08-31,24
2022-09-01,24
2022-09-02,24
2022-09-03,24
2022-09-04,32
2022-09-05,32
2022-09-06,32
2022-09-07,32
2022-09-08,32
2022-09-09,32
2022-09-10,32
2022-09-11,26
2022-09-12,26
2022-09-13,26
2022-09-14,26
2022-09-15,26
2022-09-16,26
2022-09-17,26
2022-09-18,33
2022-09-19,33
2022-09-20,33
2022-09-21,33
2022-09-22,33
2022-09-23,33
2022-09-24,33
2022-09-25,36
2022-09-26,36
2022-09-27,36
2022-09-28,36
2022-09-29,36
2022-09-30,36
2022-10-01,36
2022-10-02,26
2022-10-03,26
2022-10-04,26
2022-10-05,26
2022-10-06,26
2022-10-07,26
2022-10-08,26
2022-10-09,45
2022-10-10,45
2022-10-11,45
2022-10-12,45
2022-10-13,45
2022-10-14,45
2022-10-15,45
2022-10-16,35
2022-10-17,35
2022-10-18,35
2022-10-19,35
2022-10-20,35
2022-10-21,35
2022-10-22,35
2022-10-23,27
2022-10-24,27
2022-10-25,27
2022-10-26,27
2022-10-27,27
2022-10-28,27
2022-10-29,27
2022-10-30,43
2022-10-31,43
2022-11-01,43
2022-11-02,43
2022-11-03,43
2022-11-04,43
2022-11-05,43
2022-11-06,33
2022-11-07,33
2022-11-08,33
2022-11-09,33
2022-11-10,33
2022-11-11,33
2022-11-12,33
2022-11-13,33
2022-11-14,33
2022-11-15,33
2022-11-16,33
2022-11-17,33
2022-11-18,33
2022-11-19,33
2022-11-20,26
2022-11-21,26
2022-11-22,26
2022-11-23,26
2022-11-24,26
2022-11-25,26
2022-11-26,26
2022-11-27,32
2022-11-28,32
2022-11-29,32
2022-11-30,32
2022-12-01,32
2022-12-02,32
2022-12-03,32
2022-12-04,27
2022-12-05,27
2022-12-06,27
2022-12-07,27
2022-12-08,27
2022-12-09,27
2022-12-10,27
2022-12-11,24
2022-12-12,24
2022-12-13,24
2022-12-14,24
2022-12-15,24
2022-12-16,24
2022-12-17,24
2022-12-18,34
2022-12-19,34
2022-12-20,34
2022-12-21,34
2022-12-22,34
2022-12-23,34
2022-12-24,34
2022-12-25,34
2022-12-26,34
2022-12-27,34
2022-12-28,34
2022-12-29,34
2022-12-30,34
2022-12-31,34
2023-01-01,22
2023-01-02,22
2023-01-03,22
2023-01-04,22
2023-01-05,22
2023-01-06,22
2023-01-07,22
2023-01-08,26
2023-01-09,26
2023-01-10,26
2023-01-11,26
2023-01-12,26
2023-01-13,26
2023-01-14,26
2023-01-15,42
2023-01-16,42
2023-01-17,42
2023-01-18,42
2023-01-19,42
2023-01-20,42
2023-01-21,42
2023-01-22,52
2023-01-23,52
2023-01-24,52
2023-01-25,52
2023-01-26,52
2023-01-27,52
2023-01-28,52
2023-01-29,44
2023-01-30,44
2023-01-31,44
2023-02-01,44
2023-02-02,44
2023-02-03,44
2023-02-04,44
2023-02-05,38
2023-02-06,38
2023-02-07,38
2023-02-08,38
2023-02-09,38
2023-02-10,38
2023-02-11,38
2023-02-12,38
2023-02-13,38
2023-02-14,38
2023-02-15,38
2023-02-16,38
2023-02-17,38
2023-02-18,38
2023-02-19,44
2023-02-20,44
2023-02-21,44
2023-02-22,44
2023-02-23,44
2023-02-24,44
2023-02-25,44
2023-02-26,45
2023-02-27,45
2023-02-28,45
2023-03-01,45
2023-03-02,45
2023-03-03,45
2023-03-04,45
2023-03-05,29
2023-03-06,29
2023-03-07,29
2023-03-08,29
2023-03-09,29
2023-03-10,29
2023-03-11,29
2023-03-12,42
2023-03-13,42
2023-03-14,42
2023-03-15,42
2023-03-16,42
2023-03-17,42
2023-03-18,42
2023-03-19,44
